,0,1,2,3,4,5,6
0,greenac01,A.C. Green,1986-2001,0,g,https://www.basketball-reference.com/players/g/greenac01.html,
1,bramlaj01,A.J. Bramlett,2000,0,b,https://www.basketball-reference.com/players/b/bramlaj01.html,
2,engliaj01,A.J. English,1991-1992,0,e,https://www.basketball-reference.com/players/e/engliaj01.html,
3,guytoaj01,A.J. Guyton,2001-2003,0,g,https://www.basketball-reference.com/players/g/guytoaj01.html,
4,hammoaj01,A.J. Hammons,2017,1,h,https://www.basketball-reference.com/players/h/hammoaj01.html,
5,matthaj01,A.J. Matthews,-,0,m,https://www.basketball-reference.com/players/m/matthaj01.html,
6,priceaj01,A.J. Price,2010-2015,0,p,https://www.basketball-reference.com/players/p/priceaj01.html,
7,slaugaj01,A.J. Slaughter,-,0,s,https://www.basketball-reference.com/players/s/slaugaj01.html,
8,wyndeaj01,A.J. Wynder,1991,0,w,https://www.basketball-reference.com/players/w/wyndeaj01.html,
9,holtaw01,A.W. Holt,1971,0,h,https://www.basketball-reference.com/players/h/holtaw01.html,
10,brookaa01,Aaron Brooks,2008-2018,1,b,https://www.basketball-reference.com/players/b/brookaa01.html,
11,craftaa01,Aaron Craft,-,0,c,https://www.basketball-reference.com/players/c/craftaa01.html,
12,gordoaa01,Aaron Gordon,2015-2019,1,g,https://www.basketball-reference.com/players/g/gordoaa01.html,
13,grayaa01,Aaron Gray,2008-2014,0,g,https://www.basketball-reference.com/players/g/grayaa01.html,
14,harriaa01,Aaron Harrison,2016-2018,1,h,https://www.basketball-reference.com/players/h/harriaa01.html,
15,holidaa01,Aaron Holiday,2019,1,h,https://www.basketball-reference.com/players/h/holidaa01.html,
16,jacksaa01,Aaron Jackson,2018,1,j,https://www.basketball-reference.com/players/j/jacksaa01.html,
17,jamesaa01,Aaron James,1975-1979,0,j,https://www.basketball-reference.com/players/j/jamesaa01.html,
18,mckieaa01,Aaron McKie,1995-2007,0,m,https://www.basketball-reference.com/players/m/mckieaa01.html,
19,milesaa01,Aaron Miles,2006,0,m,https://www.basketball-reference.com/players/m/milesaa01.html,
20,swinsaa01,Aaron Swinson,1995,0,s,https://www.basketball-reference.com/players/s/swinsaa01.html,
21,whiteaa01,Aaron White,-,0,w,https://www.basketball-reference.com/players/w/whiteaa01.html,
22,williaa01,Aaron Williams,1994-2008,0,w,https://www.basketball-reference.com/players/w/williaa01.html,
23,naderab01,Abdel Nader,2018,1,n,https://www.basketball-reference.com/players/n/naderab01.html,
24,gaddyab01,Abdul Gaddy,-,0,g,https://www.basketball-reference.com/players/g/gaddyab01.html,
25,jeelaab01,Abdul Jeelani,1980-1981,0,j,https://www.basketball-reference.com/players/j/jeelaab01.html,
26,earlac01,Acie Earl,1994-1997,0,e,https://www.basketball-reference.com/players/e/earlac01.html,
27,lawac01,Acie Law,2008-2011,0,l,https://www.basketball-reference.com/players/l/lawac01.html,
28,hangaad01,Adam Hanga,-,0,h,https://www.basketball-reference.com/players/h/hangaad01.html,
29,harriad01,Adam Harrington,2003,0,h,https://www.basketball-reference.com/players/h/harriad01.html,
30,keefead01,Adam Keefe,1993-2001,0,k,https://www.basketball-reference.com/players/k/keefead01.html,
31,morriad01,Adam Morrison,2007-2010,0,m,https://www.basketball-reference.com/players/m/morriad01.html,
32,foylead01,Adonal Foyle,1998-2009,0,f,https://www.basketball-reference.com/players/f/foylead01.html,
33,jordaad01,Adonis Jordan,1994-1999,0,j,https://www.basketball-reference.com/players/j/jordaad01.html,
34,thomaad01,Adonis Thomas,2014,0,t,https://www.basketball-reference.com/players/t/thomaad01.html,
35,paynead01,Adreian Payne,2015-2018,1,p,https://www.basketball-reference.com/players/p/paynead01.html,
36,brancad01,Adrian Branch,1987-1990,0,b,https://www.basketball-reference.com/players/b/brancad01.html,
37,caldwad01,Adrian Caldwell,1990-1998,0,c,https://www.basketball-reference.com/players/c/caldwad01.html,
38,dantlad01,Adrian Dantley,1977-1991,0,d,https://www.basketball-reference.com/players/d/dantlad01.html,
39,griffad01,Adrian Griffin,2000-2008,0,g,https://www.basketball-reference.com/players/g/griffad01.html,
40,smithad01,Adrian Smith,1962-1972,0,s,https://www.basketball-reference.com/players/s/smithad01.html,
41,mitchak01,Akil Mitchell,-,0,m,https://www.basketball-reference.com/players/m/mitchak01.html,
42,attleal01,Al Attles,1961-1971,0,a,https://www.basketball-reference.com/players/a/attleal01.html,
43,beardal01,Al Beard,1968,0,b,https://www.basketball-reference.com/players/b/beardal01.html,
44,biancal01,Al Bianchi,1957-1966,0,b,https://www.basketball-reference.com/players/b/biancal01.html,
45,brighal01,Al Brightman,1947,0,b,https://www.basketball-reference.com/players/b/brighal01.html,
46,butleal01,Al Butler,1962-1965,0,b,https://www.basketball-reference.com/players/b/butleal01.html,
47,carlsal01,Al Carlson,1976,0,c,https://www.basketball-reference.com/players/c/carlsal01.html,
48,cervial01,Al Cervi,1950-1953,0,c,https://www.basketball-reference.com/players/c/cervial01.html,
49,cuetoal01,Al Cueto,1970-1971,0,c,https://www.basketball-reference.com/players/c/cuetoal01.html,
50,eberhal01,Al Eberhard,1975-1978,0,e,https://www.basketball-reference.com/players/e/eberhal01.html,
51,ferraal01,Al Ferrari,1956-1963,0,f,https://www.basketball-reference.com/players/f/ferraal01.html,
52,flemial01,Al Fleming,1978,0,f,https://www.basketball-reference.com/players/f/flemial01.html,
53,guokaal01,Al Guokas,1950,0,g,https://www.basketball-reference.com/players/g/guokaal01.html,
54,hairsal01,Al Hairston,1969-1970,0,h,https://www.basketball-reference.com/players/h/hairsal01.html,
55,harrial01,Al Harrington,1999-2014,0,h,https://www.basketball-reference.com/players/h/harrial01.html,
56,henryal01,Al Henry,1971-1972,0,h,https://www.basketball-reference.com/players/h/henryal01.html,
57,horfoal01,Al Horford,2008-2019,1,h,https://www.basketball-reference.com/players/h/horfoal01.html,
58,jacksal01,Al Jackson,1968,0,j,https://www.basketball-reference.com/players/j/jacksal01.html,
59,jeffeal01,Al Jefferson,2005-2018,1,j,https://www.basketball-reference.com/players/j/jeffeal01.html,
60,lucasal01,Al Lucas,1949,0,l,https://www.basketball-reference.com/players/l/lucasal01.html,
61,lujacal01,Al Lujack,1947,0,l,https://www.basketball-reference.com/players/l/lujacal01.html,
62,masinal01,Al Masino,1953-1954,0,m,https://www.basketball-reference.com/players/m/masinal01.html,
63,miksial01,Al Miksis,1950,0,m,https://www.basketball-reference.com/players/m/miksial01.html,
64,negraal01,Al Negratti,1947,0,n,https://www.basketball-reference.com/players/n/negraal01.html,
65,rogesal01,Al Roges,1954-1955,0,r,https://www.basketball-reference.com/players/r/rogesal01.html,
66,salvaal01,Al Salvadori,1968,0,s,https://www.basketball-reference.com/players/s/salvaal01.html,
